CategorieMembre,NomEntreprise,Type,SecteurActivite,Adresse,Municipalite,CodePostal,SiteWeb
Membre ÉMERGENCE,La Criaillerie,obnl-a-volet-marchand,industrie-de-linformation-et-industrie-culturelle,"1623, avenue Saint-Marc",Shawinigan,G9N5E3,lacriaillerie.ca
Membre COLLECTIF,Le Bon Citoyen,obnl-a-volet-marchand,autre,45 Rue Fusey,Trois-Rivières,G8T2T6,www.leboncitoyen.org
Membre COLLECTIF,Les Horizons ouverts,obnl-a-volet-marchand,commerce-de-detail,7750 Boulevard Des Hêtres,Shawinigan,G9N4X4,leshorizonsouverts.com
Membre ÉMERGENCE,Les Diplomates,obnl-a-volet-marchand,industrie-de-linformation-et-industrie-culturelle,"114, Place Pruneau",Shawinigan,G9P1A2,lesdiplomates.org
Partenaire COLLECTIF,Les terres du possible - MRC de CHENAUX,autre,agriculture-foresterie-peche-et-chasse,"630, rue Principale",Saint-Luc-de-Vincennes,G0X3K0,www.lesterresdupossible.ca
Membre COLLECTIF,Centre Ressources Naissance de la Mauricie - Rive-Sud,obnl-a-volet-marchand,autre,"690, boul. des Récollets",Trois-Rivières,G8Z3V9,www.ressourcesnaissance.ca
Membre COLLECTIF,Groupe Voix de Femmes,obnl-a-volet-marchand,autre,1210 chemin Principal,Saint-Mathieu-du-Parc,G0X1N0,facebook.com/voixfemmestradition
Membre COLLECTIF,Coopérative de Solidarité du marché public de shawinigan,cooperative-de-solidarite,autre,2093 AV CHAMPLAIN,Shawinigan,G9N2L3,
Membre ÉMERGENCE,Maina (Maison d'accueil et d'intégration pour les nouvelles arrivantes),obnl-a-volet-marchand,autre,"240, rue des Forges, bureau 204",Trois-Rivières,G9A2G8,
Membre COLLECTIF,Coop Nourricière,cooperative-de-solidarite,agriculture-foresterie-peche-et-chasse,730 rue Saint-Joseph,Saint-Barnabé,G0X2K0,www.facebook.com/CoopNourriciere
Membre ÉMERGENCE,Café Boutchoux,cooperative-de-solidarite,autre,1121 rue Louis-de-France,Trois-Rivières,G8T1A5,
Partenaire COLLECTIF,MRC de Maskinongé,autre,service-professionnels-scientifiques-techniques,"651, boul. Saint-Laurent Est",Louiseville,J5V1J1,mrcmaskinonge.ca
Membre COLLECTIF,Club Multivoile 4 saisons,obnl-a-volet-marchand,autre,2920 Boul Nérée-Beauchemin,Trois-Rivières,G8Z1B4,www.multivoile.com
Citoyen COLLECTIF,Lumina Stratégies,autre,service-professionnels-scientifiques-techniques,450 23e avenue est,Shawinigan,G9T7A3,luminastrategies.ca
Membre ÉMERGENCE,Oasis - Agriculture Urbaine,obnl-a-volet-marchand,agriculture-foresterie-peche-et-chasse,"253, 3e Rue de la Pointe, bureau 323",Shawinigan,G9N1H5,www.facebook.com/ProjetOasisShawinigan
Partenaire COLLECTIF,Université du Québec à Trois-Rivières,autre,autre,"3351, boulevard des Forges",Trois-Rivières,G9A5H7,uqtr.ca
Partenaire COLLECTIF,"Tardif, Stratégies d'affaires",autre,service-professionnels-scientifiques-techniques,"506, rue Bonaventure",Trois-Rivières,G9A2B4,www.patricetardif.com
Membre COLLECTIF,Plein Air Ville-Joie,obnl-a-volet-marchand,hebergement-et-restauration,11-441 Notre-Dame Ouest,Trois-Rivières,G9B6W5,ville-joie.com
Membre ÉMERGENCE,Route Douze,obnl-a-volet-marchand,service-denseignement,1781 P. Dizy-Montplaisir,Trois-Rivières,G8V0H3,www.routedouze.com
Membre COLLECTIF,SAMBBA OBV Batiscan-Champlain,obnl-a-volet-marchand,service-professionnels-scientifiques-techniques,"211, rue de l'Église",Sainte-Geneviève-de-Batiscan,G0X2R0,www.sambba.qc.ca
Partenaire COLLECTIF,Sourire Mobile Mauricie,obnl-a-volet-marchand,soins-de-sante-et-assistance-sociale,"1060, rue St-François-Xavier, local 125",Trois-Rivières,G9A1R8,souriremobile
Membre COLLECTIF,Aide Chez Soi des Chenaux,obnl-a-volet-marchand,soins-de-sante-et-assistance-sociale,"44, chemin Rivière-à-Veillet",Ste-Geneviève-de-Batiscan,G0X2R0,www.aidechezsoideschenaux.com
Partenaire COLLECTIF,Table de concertation du mouvement des femmes de la Mauricie,mrc-mekinac,autre,"1060, rue St-François-Xavier, bureau 315",Trois-Rivières,G9A1R8,tcmfm.ca
Membre COLLECTIF,Transport Adapté du Comté de Maskinongé,mrc-mekinac,transport-et-entreposage,624 rue Dalcourt,Louiseville,J5V2Z6,www.tacm82.org
Membre ÉMERGENCE,Un pour tous,cooperative-de-solidarite,service-professionnels-scientifiques-techniques,"1586, rue Louis-de-France",Trois-Rivières,G8W2C2,
Partenaire COLLECTIF,La Ruche Québec,obnl-a-volet-marchand,finance-et-assurances,"1220, boulevard Lebourgneuf, bureau 301",Québec,G2K2G4,laruchequebec.com
Partenaire COLLECTIF,Ville de La Tuque,autre,autre,323 rue St-François,La Tuque,G9X1S2,www.ville.latuque.qc.ca
Membre COLLECTIF,Service de développement artistique interculturel Voix de Pasaj,obnl-a-volet-marchand,autre,127 rue Radisson,Trois-Rivières,G9A2C5,www.facebook.com/Voixdepasaj
Membre ÉMERGENCE,Constantia (Service d'intervention de proximité en milieu familial),autre,soins-de-sante-et-assistance-sociale,"25 rue de Boucherville, app 5",Trois-Rivières,G8W1E8,
Partenaire COLLECTIF,La Zone entrepreneuriale,autre,service-professionnels-scientifiques-techniques,445 rue des Volontaires,Trois-Rivières,G9A2E7,lazoneentrepreneuriale.ca
