"NomEntreprise","Adresse","Municipalite","CodePostal","Territoire","SiteWeb","NEQ","CategorieMembre","Type","SecteurActivite","lat","long"
"Les amis du hameau de la rivière St-Maurice Maikan","2206 boul. des Chenaux","Trois-Rivières","G9A1A1","Trois-Rivières",NA,1165515009,NA,NA,NA,46.363921,-72.552661
"Les trouvailles de Mékinac","752 boul. Saint-Joseph","Saint-Tite","G0X3H0","Mékinac","www.cabmekinac.org",NA,NA,NA,NA,46.726012,-72.55815
"Club Moose-Sipi inc.","1151 Grand Rang","Saint-Tite","G0X3H0","Mékinac",NA,1143274810,NA,NA,NA,46.712115,-72.54978
"CPE Le petit Champlain","15 rue Massicotte","Champlain","G0X1C0","Des Chenaux",NA,NA,NA,NA,NA,46.443081,-72.346932
"Corporation transport adapté Mékinac ( C.T.A.M.)","206-301 rue Saint-Jacques","Sainte-Thècle","G0X3G0","Mékinac","www.ctamekinac.qc.ca",1142135285,NA,NA,NA,46.818583,-72.504294
"Centre d'entrepreneuriat Shawinigan, coopérative de solidarité","1250 ave de la Station","Shawinigan","G9N8K9","Shawinigan","ceads.ca",1167485235,NA,NA,NA,46.545617,-72.749825
"Salon du livre de Trois-Rivières","100-60 RUE St-Antoine","Trois-Rivières","G9A0C4","Trois-Rivières","www.sltr.qc.ca",NA,NA,NA,NA,46.341333,-72.541931
"Coopérative d'habitation Ste-Famille du Cap-de-la-Madeleine","60 Rue Perreault","Trois-Rivières","G8T9S2","Trois-Rivières",NA,1161931523,NA,NA,NA,46.362089,-72.527707
"L'évasion service de gardiennage et de répit","154 rue Toupin","Trois-Rivières","G8T3Z9","Trois-Rivières","www.levasion.org/index2.html",1148142244,NA,NA,NA,46.364518,-72.503607
"CPE Le manège des Tout-petits inc.","2090 10e Rue","Shawinigan","G9T6V8","Shawinigan","www.monsitew.com/Site/cpemanegedestoutpetits/ZonePublic/Accueil/NousJoindre",NA,NA,NA,NA,46.618352,-72.711242
"Résidence Le Jardin","897 rue St-Pierre","Trois-Rivières","G9A4W5","Trois-Rivières","résidencelejardin.com",NA,NA,NA,NA,46.343491,-72.539014
"CPE Entre deux nuages","928 rue Guilbert","Trois-Rivières","G8T5V7","Trois-Rivières",NA,NA,NA,NA,NA,46.39127,-72.552434
"Ciné-Campus","858 rue Laviolette","Trois-Rivières","G9A5J1","Trois-Rivières","www.cinecampustr.com",NA,NA,NA,NA,46.349071,-72.544762
"Coopérative de solidarité Le Nouvelliste","1920 rue Bellefeuille","Trois-Rivières","G9A3Y2","Trois-Rivières","www.lenouvelliste.ca",NA,NA,NA,NA,46.340864,-72.552115
"L'interville coop de solidarité en soins et services","104-3550 rue de Cherbourg","Trois-Rivières","G8Y6S6","Trois-Rivières","www.interville.ca",1146990131,NA,NA,NA,48.90866,-66.99887
"Coop Nitaskinan (Bureau et Espace culturel Onikam)","001-500 avenue Broadway","Shawinigan","G9N1M3","Shawinigan","www.coopnitaskinan.com",NA,NA,NA,NA,46.54058,-72.743967
"Club Ingall inc.","301 rue Rocheleau","Hérouxville","G0X1J0","Mékinac",NA,1143806322,NA,NA,NA,46.675295,-72.620444
"CPE Le Petit navire inc.","2770 rue Forest","Trois-Rivières","G8Z4K8","Trois-Rivières","www.facebook.com/profile.php?id=100057401750203",1142221861,NA,NA,NA,46.331056,-72.589409
"Formation accès intégration travail (fait) inc.","1110 boul. Thibeau","Trois-Rivières","G8T7B2","Trois-Rivières","fait3r.org",1142108548,NA,NA,NA,46.394028,-72.559487
"Caravane Philanthrope","2700 Laviolette","Trois-Rivières","G8Z1E5","Trois-Rivières","caravanephilanthrope.com/a-propos",1174898917,NA,NA,NA,46.35785,-72.562871
"Association coopérative d'habitation étudiante des Forges","1550 rue du Père-Marquette","Trois-Rivières","G8Z4G5","Trois-Rivières",NA,1146144416,NA,NA,NA,46.347237,-72.573312
"Coop de solidarité de Lac-Édouard","148 RUE Principale","Lac-Édouard","G0X3N0","La Tuque",NA,1166217175,NA,NA,NA,47.661911,-72.272016
"Coopérative de travail Inter-Nations","22 RUE AMISKW","Obedjiwan","G0W3B0","La Tuque",NA,1165868846,NA,NA,NA,48.657703,-74.942811
"Le Costumier Chavigny","365 rue Chavigny","Trois-Rivières","G9B1A7","Trois-Rivières",NA,1171662365,NA,NA,NA,46.312422,-72.581413
"Corporation de Transports collectifs de la MRC de Maskinongé","130-80 rue St-Jacques","Louiseville","J5V1C2","Maskinongé","www.ctcmaskinonge.org",NA,NA,NA,NA,46.258145,-72.941622
"Les concerts d'orgue pro-organo (Mauricie) inc.","3690 boul. des Chenaux","Trois-Rivières","G8Y1A4","Trois-Rivières","proorgano.ca",1144668325,NA,NA,NA,46.364652,-72.568534
"Corporation du pont Rivière-aux-rats","375 rue Saint-Joseph","La Tuque","G9X1L5","La Tuque",NA,1141091737,NA,NA,NA,47.440711,-72.781489
"Association sportive du Gros Brochet inc.","582 4e rue de la Pointe","Shawinigan","G9N1G8","Shawinigan",NA,1144192540,NA,NA,NA,46.539781,-72.749201
"La maitrise du cap inc.","775 rue Berlinguet","Trois-Rivières","G8T2H1","Trois-Rivières","maitriseducap.qc.ca/v2",1160977147,NA,NA,NA,46.378901,-72.536529
"Club de chasse & pêche Pandora inc.","4030 rue de l'Hôtel-de-Ville","Notre-Dame-du-Mont-Carmel","G0X3J0","Des Chenaux",NA,1143053644,NA,NA,NA,46.474375,-72.67906
"L'association de chasse et de pêche de la Mauricie inc.","4640 rue De Carufel","Notre-Dame-du-Mont-Carmel","G0X3J0","Des Chenaux",NA,1142302752,NA,NA,NA,46.490831,-72.709965
"Trois-Rivières en blues inc.","100 AVE Des Draveurs","Trois-Rivières","G9A5H3","Trois-Rivières","www.3renblues.com",1165720997,NA,NA,NA,46.34696,-72.53184
"Compagnie des cimetières Notre-Dame-du-Cap","1441 rue Notre-Dame E","Trois-Rivières","G8T4J9","Trois-Rivières","cimetieresnotredameducap.com",1171994917,NA,NA,NA,46.381908,-72.485277
"Initiatives 1-2-3-4 (La petite place des arts)","1781 CH. Principal","Saint-Mathieu-du-Parc","G0X1N0","Maskinongé",NA,NA,NA,NA,NA,46.572696,-72.922751
"Maison de répit-ADI","2153 Gignac","Shawinigan","G9N3X3","Shawinigan","adi-mauricie.ca",NA,NA,NA,NA,46.562934,-72.747211
"Atelier Action Jeunesse TR inc.","3275 rue Girard","Trois-Rivières","G8Z2M5","Trois-Rivières","www.atelieraction.org",NA,NA,NA,NA,46.341953,-72.575155
"Collège Laflèche","1687 boul. du Carmel","Trois-Rivières","G8Z3R8","Trois-Rivières","www.clafleche.qc.ca",1143449354,NA,NA,NA,46.356327,-72.561886
"Coopérative de solidarité agroalimentaire régionale de la MRC de Maskinongé","366 rue Sainte-Anne","Yamachiche","G0X3L0","Maskinongé",NA,1167919357,NA,NA,NA,46.280036,-72.835343
"Coopérative d'habitation Le Domaine Champlain de St-Georges","670 208e Avenue","Shawinigan","G9T6X9","Shawinigan",NA,1147547112,NA,NA,NA,46.625186,-72.653765
"Association nature inc.","590 ch. Saint-Joseph","Trois-Rives","G0X2C0","Mékinac",NA,1141302167,NA,NA,NA,46.919726,-72.693001
"Coopérative de solidarité hébergement de St-Rémi du lac-aux-Sables","386 rue Lavallée","Lac-aux-Sables","G0X1M0","Mékinac",NA,NA,NA,NA,NA,46.860572,-72.400641
"CPE-BC Flocons de rêve","1875 boul. Notre-Dame","Saint-Maurice","G0X2X0","Des Chenaux","www.floconsdereve.com",NA,NA,NA,NA,46.47698,-72.544909
"Coopérative d'habitation du fleuve de Trois-Rivières-Ouest","9-130 RUE Sirois","Trois-Rivières","G9A2X6","Trois-Rivières",NA,NA,NA,NA,NA,46.323601,-72.561743
"Cuisine Coopérative de Solidarité - Mauricie","2182 rue Saint-Philippe","Trois-Rivières","G9A4V7","Trois-Rivières",NA,NA,NA,NA,NA,46.336035,-72.547152
"Immeuble multiservice Des Chenaux","44 rang de la Rivière-à-Veillet","Sainte-Geneviève-de-Batiscan","G0X2R0","Des Chenaux","cdcdeschenaux.ca/organismes",1160796547,NA,NA,NA,46.564545,-72.341041
"Point de Rue","337 rue Laurier","Trois-Rivières","G9A2R4","Trois-Rivières","pointderue.com",NA,NA,NA,NA,46.337485,-72.546068
"Caisse Desjardins de Mékinac- Des-Chenaux","400 rue Notre-Dame","Saint-Tite","G0X3H0","Mékinac","www.desjardins.com/votre-caisse/index.jsp?transit=81510081",1172425069,NA,NA,NA,46.728745,-72.566007
"Le club Jockey du Québec","1850 boul. des Forges","Trois-Rivières","G8Z0A2","Trois-Rivières","hippodrome3r.ca",1165943953,NA,NA,NA,46.34544,-72.559496
"Coopérative d'électricité L.T.M","5270 rue Loiselle","Trois-Rivières","G8Y6M5","Trois-Rivières","cdltm.org",1165336703,NA,NA,NA,46.350454,-72.609012
"Coopérative le voisinage du Bout du Monde","3501 ch. des Trembles","Saint-Paulin","J0K3G0","Maskinongé","baluchon.com/coop-le-voisinage-du-bout-du-monde",NA,NA,NA,NA,46.451357,-73.000846
"Les nouveaux compagnons inc.","1425 PLACE de l'Hôtel-de-ville","Trois-Rivières","G9A5H3","Trois-Rivières","tnc.quebec",1145629672,NA,NA,NA,46.342716,-72.543163
"Autonomie Jeunesse inc.","3425 rue De Courval","Trois-Rivières","G8Z1S8","Trois-Rivières","www.autonomiejeunesse.com",1161402459,NA,NA,NA,46.353661,-72.572714
"CPE le Pipandor","90 119E RUE","Shawinigan","G9P4E6","Shawinigan","cpelepipandor.com",NA,NA,NA,NA,46.523296,-72.744082
"Coopérative de solidarité les Petits Bâtisseurs","1 RUE des Cerisiers","Maskinongé","J0K1N0","Maskinongé",NA,1168773860,NA,NA,NA,46.226399,-73.010889
"Coopérative des producteurs de boeuf de la Mauricie","420 rang Saint-Joseph","Saint-Adelphe","G0X2G0","Mékinac",NA,NA,NA,NA,NA,46.754365,-72.393708
"Coopérative des travailleurs de Savik Super-Chrome","2875 rue de l'Industrie","Trois-Rivières","G8Z3X9","Trois-Rivières","www.savik.com",NA,NA,NA,NA,46.33527,-72.587594
"Coopérative de solidarité de services à domicile Haute-Mauricie","290 rue St-Joseph","La Tuque","G9X3Z8","La Tuque",NA,1147111570,NA,NA,NA,47.441637,-72.785585
"Coopérative Pompon laine café","667 rue Bonaventure","Trois-Rivières","G9A2B9","Trois-Rivières","pomponlainecafe.com",1170877253,NA,NA,NA,46.34481,-72.546899
"CPE Les soleils de Mékinac","2 rue Saint-Gabriel","Saint-Tite","G0X3H0","Mékinac","www.monsitew.com/Site/cpelessoleilsdemekinac/ZonePublic/Accueil/LaUne",NA,NA,NA,NA,46.721513,-72.571433
"Maison Carignan inc.","7515 boul. Parent","Trois-Rivières","G9C0M5","Trois-Rivières","www.maisoncarignan.qc.ca",1142381897,NA,NA,NA,46.363228,-72.630476
"Club de golf et de curling La Tuque (2008) inc.","35 rue Beaumont","La Tuque","G9X3G8","La Tuque","golfcurlinglatuque.com",NA,NA,NA,NA,47.434867,-72.791185
"Coop Solidarité Santé Pointe-du-Lac","10300 ch. Ste-Marguerite 2e étage succ. A","Trois-Rivières","G9B7Y6","Trois-Rivières","www.coopsantepdl.ca",NA,NA,NA,NA,46.293089,-72.669399
"Centre loisir Multi-plus","3730 rue Jacques-De Labadie","Trois-Rivières","G8Y5K7","Trois-Rivières","multi-plus.ca",1144348118,NA,NA,NA,46.354877,-72.578912
"Friperie Pointe du Lac","10607 ch. Sainte-Marguerite","Trois-Rivières","G9B6N6","Trois-Rivières","www.facebook.com/Friperie-Pointe-du-Lac-organisme-sans-but-lucratif-105998170942642",1174815515,NA,NA,NA,46.288876,-72.674671
"Coopérative de solidarité des auteurs de jeux d'édition","1275-03 rue Sainte-Julie","Trois-Rivières","G9A1Y7","Trois-Rivières","www.cajeclub.ca",1174609900,NA,NA,NA,46.349281,-72.54774
"Le Sabord, revue culturelle","154 rue Radisson","Trois-Rivières","G9A2C3","Trois-Rivières","www.lesabord.qc.ca",1145593118,NA,NA,NA,46.342845,-72.540906
"Coopérative forestière du Haut St-Maurice","50 rue Bostonnais","La Tuque","G9X2E8","La Tuque","cfhsm.ca",1144262491,NA,NA,NA,47.455036,-72.777461
"Le Gyroscope du bassin de Maskinongé","393 av. Saint-Laurent","Louiseville","J5V1K4","Maskinongé","legyroscope.org",1141800301,NA,NA,NA,46.255445,-72.947552
"Aide Chez Soi de l’Énergie","525 5e rue de la Pointe","Shawinigan","G9N1E7","Shawinigan","aideenergie.ca",1147621073,NA,NA,NA,46.540332,-72.748716
"Coopérative de solidarité santé de Ste-Thècle","115 rue Lacordaire","Sainte-Thècle","G0X3G0","Mékinac","gmfvb.ca/cooperative-solidarite-sante-de-sainte-thecle",1161255329,NA,NA,NA,46.817934,-72.50568
"Centre multiservices communautaires","431 ch. des Frênes","Shawinigan","G9R1P5","Shawinigan",NA,NA,NA,NA,NA,46.600669,-72.812907
"Cohabitat Mont Otis","100 rang du Soleil","Notre-Dame-de-Montauban","G0X1W0","Mékinac","cohabitatmontotis.org/heberg.shtml",1176453950,NA,NA,NA,46.876407,-72.30966
"Groupe Voix de femmes - Maison la Tradition","1210 Chemin Principal","Saint-Mathieu-du-Parc","G0X1N0","Maskinongé",NA,NA,NA,NA,NA,46.602149,-72.869765
"Coop de Solidarité de Mékinac","590 chemin St-Joseph","Trois-Rives","G0X2C0","Mékinac",NA,NA,NA,NA,NA,46.919726,-72.693001
"Coop de solidarité santé de Pointe-du-Lac","10300 CH. Ste-Marguerite APP: Ét. 2","Trois-Rivières","G9B6M4","Trois-Rivières","www.coopsantepdl.ca/accueil/bienvenue",1163501860,NA,NA,NA,46.293089,-72.669399
"Service de secrétariat communautaire Des Chenaux","44 rang de la Rivière-à-Veillet","Sainte-Geneviève-de-Batiscan","G0X2R0","Des Chenaux","cdcdeschenaux.ca/organismes",1161673273,NA,NA,NA,46.564545,-72.341041
"Centre Ressources Naissance","690 boul. Des Récollets","Trois-Rivières","G8Z3V9","Trois-Rivières","www.ressourcesnaissance.ca",1145680147,NA,NA,NA,46.361643,-72.568398
"Coopérative de solidarité Villa Des Sablois","800 rue Saint-Alphonse","Lac-aux-Sables","G0X1M0","Mékinac",NA,1172402068,NA,NA,NA,46.858882,-72.40067
"CPE La tourelle de l'énergie","1452 rue Gigaire","Shawinigan","G9N3W4","Shawinigan","cpetourelleenergie.ca",NA,NA,NA,NA,46.560211,-72.741242
"Caisse Populaire Desjardins de St-Alexis-Des-Monts","41 Rue Richard","Saint-Alexis-des-Monts","J0K1V0","Maskinongé",NA,NA,NA,NA,NA,46.461978,-73.141445
"Gestion Phénix","627 rue Principale","Saint-Étienne-des-Grès","G0X2P0","Maskinongé",NA,1174036039,NA,NA,NA,46.428126,-72.756206
"Coopérative forestière du bas St-Maurice","1780A boul. Trudel E","Saint-Boniface","G0X2L0","Maskinongé","www.cfbsm.com",1145028693,NA,NA,NA,46.524524,-72.809891
"Coopérative de travailleurs actionnaire de MESAR","4500 RUE Charles-Malhiot","Trois-Rivières","G9B0V4","Trois-Rivières","mesar.qc.ca",1161921029,NA,NA,NA,46.340541,-72.634667
"Coop de Production de Systèmes Électroniques et Informatiques du Québec (Celibec)","3550 boul. Gene-H Kruger Bureau #200","Trois-Rivières","G9A4M3","Trois-Rivières","www.celibec.com",NA,NA,NA,NA,NA,NA
"Les services de garde Gribouillis","700 rue Notre-Dame S","Louiseville","J5V1Y9","Maskinongé","gw.micro-acces.com/gribouillis/Publique/Accueil.aspx",1143868017,NA,NA,NA,46.246842,-72.930387
"Gym Centre-ville coop de solidarité","188 rue Radisson","Trois-Rivières","G9A2C3","Trois-Rivières",NA,NA,NA,NA,NA,46.342953,-72.541292
"Club de pêche et de chasse de Trois-Rivières","2675 BOUL. DU CARMEL","Trois-Rivières","G8Z3S5","Trois-Rivières",NA,1142414557,NA,NA,NA,46.361654,-72.562387
"CPE Jean-Noël Lapin","700 RUE du Marthelinois","Trois-Rivières","G8V1S9","Trois-Rivières","gw.micro-acces.com/cpejeannoellapin/Publique/Accueil.aspx",NA,NA,NA,NA,46.378649,-72.496715
"Coopérative d'habitation de la Bonaventure de Trois-Rivières","692 rue Bonaventure","Trois-Rivières","G9A2C1","Trois-Rivières",NA,1144741718,NA,NA,NA,46.345314,-72.547296
"Maison de la Madone","10 rue Denis-Caron","Trois-Rivières","G8T3W9","Trois-Rivières","www.maisonmadone.com",1144195949,NA,NA,NA,46.369129,-72.501001
"CPE Le petit Forgeron inc.","990 place Boland","Trois-Rivières","G8Z4H2","Trois-Rivières","www.monsitew.com/Site/cpelepetitforgeron/zonepublic/section/menu/568",NA,NA,NA,NA,46.340497,-72.580732
"CPE Premier pas de La Tuque","350 rue Brown","La Tuque","G9X2W4","La Tuque","www.cpepremierpas.com",1164142102,NA,NA,NA,47.447422,-72.781875
"Corporation Camping Le Relais Lac-aux-Sables","1000 CH. de la Traverse","Lac-aux-Sables","G0X1M0","Mékinac","www.campinglerelais.ca",1146847505,NA,NA,NA,46.858918,-72.398456
"Le Festival International du Film de Trois-Rivières","1285 RUE Notre-Dame-Centre","Trois-Rivières","G9A5K8","Trois-Rivières","tr-iff.ca",1172335128,NA,NA,NA,46.342212,-72.539016
"Association des Francs Copains de Windigo","120 11E AVENUE NORD","Sainte-Thècle","G0X3G0","Mékinac",NA,NA,NA,NA,NA,46.815667,-72.505347
"Coopérative de solidarité de Yamachiche","461 ch. des Caron","Yamachiche","G0X3L0","Maskinongé",NA,1176673573,NA,NA,NA,46.290757,-72.872806
"Coopérative d'aqueduc du Bois-Blanc","471 rte du Bois-Blanc","Saint-Justin","J0K2V0","Maskinongé",NA,1144513083,NA,NA,NA,46.235963,-73.111701
"Les villages étudiants inc.","858 rue Laviolette","Trois-Rivières","G9A5J1","Trois-Rivières","www.camplacencoeur.qc.ca",1144246544,NA,NA,NA,46.349071,-72.544762
"Zoothérapie Mauricie","1515 rue Lapierre","Trois-Rivières","G8W2J1","Trois-Rivières","www.animauxauboulot.com",1173814071,NA,NA,NA,46.411496,-72.608386
"Association de chasse et de pêche de la rivière Bostonnais Nord inc.","1060 rang Saint-Pierre S","Hérouxville","G0X1J0","Mékinac",NA,1142911727,NA,NA,NA,46.673763,-72.613636
"CPE L'Arbre enchanté","455 rue des Vétérans","Trois-Rivières","G8T2W8","Trois-Rivières",NA,NA,NA,NA,NA,46.377324,-72.50983
"Ressource d'hébergement La Ritournelle","70 ch. Bernier","Saint-Boniface","G0X2L0","Maskinongé",NA,1161340733,NA,NA,NA,46.52279,-72.809785
"La Caisse Populaire de Notre Dame du Mont Carmel.","3960 rue Monseigneur-Béliveau","Notre-Dame-du-Mont-Carmel","G0X3J0","Des Chenaux",NA,NA,NA,NA,NA,46.489002,-72.655901
"L4B 35 - Coopérative de solidarité entrepreneuriale universitaire","425 rue des Forges","Trois-Rivières","G9A2H4","Trois-Rivières",NA,1174473042,NA,NA,NA,46.342049,-72.544235
"Les Petits Collégiens","500 rue des Forges","Trois-Rivières","G9A2H5","Trois-Rivières","lespetitscollegiens.com",1160055852,NA,NA,NA,46.342473,-72.545285
"Coopérative d'habitation Pierre Boucher du cap","2-40 rue Pierre-Boucher","Trois-Rivières","G8W1N1","Trois-Rivières",NA,1144264570,NA,NA,NA,46.37702,-72.564751
"Coopérative Monark","225 route 132 Ouest","Trois-Pistoles","G0L4K0","Trois-Rivières",NA,1169087385,NA,NA,NA,48.086946,-69.250276
"Les écrits des Forges","992A rue Royale","Trois-Rivières","G9A4H9","Trois-Rivières","www.ecritsdesforges.com",1143243955,NA,NA,NA,46.345232,-72.542945
"Buffet Bouff'Elles","1060 rue St-François-Xavier","Trois-Rivières","G9A1R8","Trois-Rivières","www.buffetsbouffelles.com",NA,NA,NA,NA,46.350513,-72.545365
"Corporation touristique de Batiscan","1000 rue Principale","Batiscan","G0X1A0","Des Chenaux","www.batiscan.ca/fr/tourisme/corporation",1149962061,NA,NA,NA,46.53957,-72.230331
"Coop de solidarité Multiservices Montauban","545 av. des Loisirs","Notre-Dame-de-Montauban","G0X1W0","Mékinac",NA,1166522327,NA,NA,NA,46.876246,-72.308248
"Coopérative de solidarité en technique de scène","1425 PLACE de l'Hôtel-de-ville","Trois-Rivières","G9A5H3","Trois-Rivières",NA,1175020842,NA,NA,NA,46.342716,-72.543163
"Coopérative d""habitation Solveil de Trois-Rivières","2-5085 rue Chabanel","Trois-Rivières","G8Y5GY","Trois-Rivières",NA,1147576699,NA,NA,NA,46.369387,-72.587508
"Regroupement des métiers d'art de la Mauricie","1425 PLACE de L'Hôtel de ville","Trois-Rivières","G9A5H3","Trois-Rivières","www.emametiersdart.ca",1163363642,NA,NA,NA,46.342716,-72.543163
"Coopérative d'aide à domicile de la MRC de Maskinongé","760 boul. Saint-Laurent E","Louiseville","J5V1H9","Maskinongé","www.cadmaski.com",1147449848,NA,NA,NA,46.25776,-72.918795
"Coop HD Québec (hygiénistes dentaires autonomes)","130-1060 rue St-François-Xavier","Trois-Rivières","G9A1R8","Trois-Rivières","Coop HD Québec (hygiénistes dentaires)",NA,NA,NA,NA,46.350433,-72.545267
"Groupe Envir-eau-sol inc.","680 rue Sainte-Anne","Yamachiche","G0X3L0","Maskinongé",NA,1146904017,NA,NA,NA,46.283243,-72.828426
"Centre Communautaire De Loisirs Jean-Noël Trudel","55 Rue Mercier","Trois-Rivières","G8T5R3","Trois-Rivières","centrejnt.com",1144144590,NA,NA,NA,46.363388,-72.507479
"Séminaire de Trois-Rivières","858 rue Laviolette","Trois-Rivières","G9A5J1","Trois-Rivières","ssj.qc.ca",NA,NA,NA,NA,46.349071,-72.544762
"Les cuisines collectives de Francheville","145-1060 RUE Saint-François-Xavier B","Trois-Rivières","G9A1R8","Trois-Rivières",NA,1147946942,NA,NA,NA,46.350433,-72.545267
"Caisse Desjardins de l'ouest de la Mauricie","75 avenue Saint-Laurent","Louiseville","J5V1J6","Maskinongé","www.desjardins.com/votre-caisse/index.jsp?transit=81510106",1163420525,NA,NA,NA,46.255778,-72.94441
"Caisse populaire Desjardins de Maskinongé","62 rue Saint-Aimé","Maskinongé","J0K1N0","Maskinongé","www.desjardins.com/votre-caisse/index.jsp?transit=81510035",NA,NA,NA,NA,46.227459,-73.013288
"P'tit Marché des Chenaux","375 BOUL. de Lanaudière","Sainte-Anne-de-la-Pérade","G0X2J0","Des Chenaux","www.ptitmarchedeschenaux.org",1176994011,NA,NA,NA,46.571724,-72.201332
"Club de chasse et de pêche St-Maurice","2800 CHEMIN WAYAGAMAK","La Tuque","G9X3P6","La Tuque","www.clubstmaurice.com",NA,NA,NA,NA,47.440907,-72.781665
"Association récréative Club Latuquois inc.","1529 ch. Fitzpatrick","La Tuque","G9X3N7","La Tuque","www.ville.latuque.qc.ca/fr/repertoire/2379/club-latuquois",1142285395,NA,NA,NA,47.464842,-72.777047
"Services communautaires Batiscan inc.","601 rue Principale","Lac-aux-Sables","G0X1M0","Mékinac",NA,1166225160,NA,NA,NA,46.862163,-72.393693
"Hauts Boisés de Grand-Mère","1601 10e avenue","Shawinigan","G9N1H5","Shawinigan",NA,NA,NA,NA,NA,46.607814,-72.708294
"Maison de Transition de la Batiscan","1605 rue Principale","Saint-Saintanislas","G0X3E0","Des Chenaux","www.maisonbatiscan.com",1142305995,NA,NA,NA,46.615992,-72.385152
"Centre nautique de Grandes-Piles","253 ch. de Florence","Grandes-Piles","G0X1H0","Mékinac","centrenautiquedegrandespiles.com",1175486308,NA,NA,NA,46.681374,-72.704074
"CAB du Rivage","101-1 Rue Fusey","Trois-Rivières","G8T2T2","Trois-Rivières",NA,NA,NA,NA,NA,46.365687,-72.526862
"Les Incroyables comestibles Saint-Adelphe","215 rue Principale","Saint-Adelphe","G0X2G0","Mékinac",NA,1172757164,NA,NA,NA,46.737938,-72.434551
"Coop l'anglais à la carte","39 rue Vaillancourt","Trois-Rivières","G8T1Y6","Trois-Rivières","cooplanglaisalacarte.business.site",1174492703,NA,NA,NA,46.380273,-72.546126
"St-Adelforce inc.","150 RUE BAILLARGEON","Saint-Adelphe","G0X2G0","Mékinac",NA,1163957302,NA,NA,NA,46.734561,-72.430771
"Les Éditions communautaires des Chenaux","44 Chemin Rivière-à-Veillet","Sainte-Geneviève-de-Batiscan","G0X2R0","Des Chenaux","lebulletin-enligne.com",NA,NA,NA,NA,46.539736,-72.341331
"Musée du baseball Fernand-Bédard","231 rue des Érables","Trois-Rivières","G8T5G9","Trois-Rivières","www.facebook.com/museebaseballmuseum",1175700559,NA,NA,NA,46.369557,-72.511786
"Odaci danse et cirque","269 5E rue de la Pointe","Shawinigan","G9N1E2","Shawinigan","www.odaci.shop",NA,NA,NA,NA,46.540528,-72.745763
"Club de chasse et pêche Grand-Mère","135 boul. Thibeau","Trois-Rivières","G8T6X8","Trois-Rivières",NA,NA,NA,NA,NA,46.368201,-72.534541
"Opéra de Trois-Rivières","861 rue du Haut-Boc","Trois-Rivières","G9A4W7","Trois-Rivières","operadetroisrivieres.org",1176158773,NA,NA,NA,46.346259,-72.541092
"Pavillon St-Arnaud","2900 Mgr. St-Arnaud","Trois-Rivières","G9A5L2","Trois-Rivières","www.pavillonst-arnaud.com",1145427440,NA,NA,NA,46.342477,-72.539925
"Collectif des artistes en arts visuels de la MRC Des Chenaux, Coopérative de solidarité Cent-Arts","1525 rue Laviolette","Trois-Rivières","G9A1W5","Des Chenaux",NA,NA,NA,NA,NA,46.352942,-72.550853
"CPE L'Univers de Mamuse et Méduque inc.","2855 RUE Monseigneur Saint-Arnaud","Trois-Rivières","G9A5H5","Trois-Rivières","www.cpemamu.com",NA,NA,NA,NA,46.333225,-72.553016
"Coopérative de solidarité Abattoir Massicotte","3720 rang Saint-Alexis","Saint-Luc-de-Vincennes","G0X3K0","Des Chenaux",NA,1170124946,NA,NA,NA,46.488308,-72.42894
"Friperie St-Louis","815 rue Louis-de-France","Trois-Rivières","G8T1A2","Trois-Rivières",NA,1172104185,NA,NA,NA,46.423377,-72.595883
"Association générale des étudiants du cegep de Trois-Rivières inc.","3175 boul. Laviolette","Trois-Rivières","G8Z1E9","Trois-Rivières","agectr.ca",NA,NA,NA,NA,46.358501,-72.568898
"Coopérative de solidarité d'intégration socio-professionnelle Adirondak","911 NOTRE-DAME SUD","Louiseville","J5V2L4","Maskinongé","www.coopadirondak.ca",1148693667,NA,NA,NA,46.24222,-72.924014
"Coopérative Vision - Éducation","3550 rue Marguerite-Seigneuret","Trois-Rivières","G9B0M5","Trois-Rivières",NA,1171889307,NA,NA,NA,46.322634,-72.625698
"Corporation de Transport Adapté et Collectif du Haut St-Maurice","885 Boul. Ducharme bureau SS-23","La Tuque","G9X3C1","La Tuque","www.ctachsm.org",NA,NA,NA,NA,47.428524,-72.78627
"Festi-volant Grandes-Piles","630 4e Avenue","Grandes-Piles","G0X1H0","Mékinac","www.festivolant.com",1168076280,NA,NA,NA,46.68669,-72.726246
"Agence immobilière sociale","330-1060 rue Saint-François-Xavier","Trois-Rivières","G9A1R8","Trois-Rivières","www.v3r.net/activites-et-loisirs/repertoire-des-organismes/agence-immobiliere-sociale",1166177346,NA,NA,NA,46.350433,-72.545267
"Académie Taekwon-do Pierre Laquerre de St-Étienne-des-Grès","220 av. Richard","Saint-Boniface","G0X2L0","Maskinongé","www.atpl-itf.com",1147515887,NA,NA,NA,46.48309,-72.847761
"CPE Flocons de Rêve inc.","1875 rue Notre-Dame","Saint-Maurice","G0X2X0","Des Chenaux","www.floconsdereve.com",NA,NA,NA,NA,46.47458,-72.540667
"CPA St-Boniface Les Perce-Neige","180 RUE LANGEVIN","Saint-Boniface","G0X2L0","Maskinongé",NA,NA,NA,NA,NA,46.500159,-72.831776
