"NomEntreprise","Adresse","Municipalite","CodePostal","Territoire","SiteWeb","NEQ","CategorieMembre","Type","SecteurActivite","lat","long"
"Corporation de développement communautaire Mékinac","215-301 rue St-Jacques","Sainte-Thècle","G0X3G0",NA,"www.cdcmekinac.org",1147843321,"Partenaire COLLECTIF","obnl-a-volet-marchand","autre",46.818583,-72.504294
"CDC de Shawinigan","520 avenue Broadway","Shawinigan","G9N1M3",NA,"www.cdcshawinigan.ca",1160900818,"Partenaire COLLECTIF","mrc-mekinac","autre",46.541028,-72.743624
"CDEC de Trois-Rivières","310-1060 rue Saint-François-Xavier","Trois-Rivières","G9A1R8",NA,"www.cdectr.ca",1145487188,"Partenaire COLLECTIF","mrc-mekinac","service-professionnels-scientifiques-techniques",46.350433,-72.545267
"Communo-Gym","1060 St-François-Xavier","Trois-Rivières","G9A1R8",NA,"comsep.qc.ca/comsep-1/communo-gym",1163445209,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.350513,-72.545365
"COOP ETC","444 BOSTONNAIS","La Tuque","G9X2G7",NA,NA,NA,"Membre COLLECTIF","cooperative-de-solidarite","service-denseignement",47.442685,-72.775224
"Coopérative de solidarité Santé Le Rocher","1050 8e Rue","Shawinigan","G9T4L4",NA,"cooplerocher.com",1165708257,"Membre COLLECTIF","cooperative-de-solidarite","soins-de-sante-et-assistance-sociale",46.615653,-72.698851
"Coop Nitaskinan","001-500 avenune Broadway","Shawinigan","G9N1M3",NA,"coopnitaskinan.com",1170798160,"Membre COLLECTIF","cooperative-de-solidarite","service-professionnels-scientifiques-techniques",46.54058,-72.743967
"Coopérative de solidarité Les Grès","202-190 St-Honoré","Saint-Etienne-des-Grès","G0X2P0",NA,NA,NA,"Membre COLLECTIF","cooperative-de-solidarite","immobilier-et-location",46.442927,-72.770441
"Radio Country Pop","47 rue Saint-Thomas","Louiseville","J5V2A3",NA,"www.countrypop.ca",NA,"Membre COLLECTIF","obnl-a-volet-marchand","autre",46.255043,-72.94352
"Centre Roland-Bertrand","1895 avenue Champlain","Shawinigan","G9N0G4",NA,"centrerolandbertrand.com",1143475094,"Membre COLLECTIF","obnl-a-volet-marchand","commerce-de-detail",46.553791,-72.744514
