"NEQ","NomEntreprise","Adresse","Municipalite","Adresse_Lign3","CodePostal","SecteurActivite","FormeJuridique","lat","long"
1144264570,"COOPÉRATIVE D'HABITATION PIERRE BOUCHER DU CAP","7-50 rue Pierre-Boucher","Trois-Rivières (Québec)",NA,"G8W1N1","COOPÉRATIVE D'HABITATION","COP",46.389934,-72.572609
1144289254,"La Fondation Objectif Couples et Familles","61 rue Leval","Trois-Rivières (Québec)",NA,"G8W2J8","Aider au Développement de la Préparation au Mariage et Recherche pour Aider des Organismes Bénévoles","APE",46.397767,-72.605174
1144255412,"Diabète Mauricie-Bécancour-Nicolet","575 rue du Père-Daniel","Trois-Rivières (Québec)",NA,"G9A5Z7","VENIR EN AIDE AUX DIABÉTIQUES DANS LE BESOIN","APE",46.332432,-72.556759
1144250900,"FONDATION COLLEGE MARIE-DE-L'INCARNATION DE TROIS-RIVIERES","725 rue Hart","Trois-Rivières (Québec)",NA,"G9A4R9","FONDATIONS","APE",46.346344,-72.537946
1144261527,"COOPERATIVE D'HABITATION ST-PHILIPPE DE TROIS-RIVIERES","211-3675 boul. du Chanoine-Moreau","Trois-Rivières (Québec)",NA,"G8Y5M6","ADMINISTR DES IMMEUBLES COOPÉRATIFS","COP",46.359865,-72.586593
1144262491,"COOPÉRATIVE FORESTIÈRE DU HAUT ST-MAURICE","150 ch. des Hamelin","La Tuque (Québec)",NA,"G9X3N6","AMÉNAGEMENT FORESTIER","COP",47.455365,-72.762668
1144252328,"ALLAITEMENT-SOLEIL","540 av. Broadway","Shawinigan (Québec)",NA,"G9N1M3","Soutient allaitement - soutient périnatalité - soutient parentalité - soutient grossesse - développement du bébé - parentalité positive - Écoute - Entraide - location et prêt de matériel d'allaitement - bénévolat","APE",46.541085,-72.743378
1144263630,"LA CLE EN EDUCATION POPULAIRE DE MASKINONGE","733 BOUL. Saint-Laurent E","Louiseville (Québec)",NA,"J5V1J1","FAIRE DE L'ALPHABÉTISATION POPULAIRE AUTONOME","APE",46.257839,-72.919735
1144409084,"ASSOCIATION QUÉBÉCOISE DE DÉFENSE DES DROITS DES PERSONNES RETRAITÉES ET PRÉRETRAITÉES (AQDR) SECTION MÉKINAC","301, RUE SAINT-JACQUES, BUREAU 218-A","SAINTE-THÈCLE (QUÉBEC)",NA,"G0X3G0","GROUPER ASSOCIATION PRÉ-RETRAITÉS ET RETRAITÉS DU SECTEUR MÉKINAC PROMOUVOIR DÉFENDRE INTÉRÊTS MEMBRES FAIRE DES REPRÉSENTATIONS AUX CORPS...","APE",46.815055,-72.507698
1144411593,"CLUB DE L'AGE D'OR PAROISSE STE-CECILE DES TROIS-RIVIERES","840 rue Saint-Paul","Trois-Rivières (Québec)",NA,"G9A1J3","LOISIR (PÉTANQUE - PALET) SOCIAL (DANSE) CULTUREL","APE",46.350964,-72.541264
